0 [0] LN:i:7440 RC:i:1,1 [0] LN:i:7440 RC:i:1,0,-
2 [1] LN:i:11104 RC:i:1,3 [1] LN:i:11104 RC:i:1,0,-
4 [2] LN:i:9424 RC:i:1,5 [2] LN:i:9424 RC:i:1,0,-
6 [3] LN:i:9696 RC:i:1,7 [3] LN:i:9696 RC:i:1,0,-
8 [4] LN:i:8704 RC:i:1,9 [4] LN:i:8704 RC:i:1,0,-
10 [5] LN:i:5984 RC:i:1,11 [5] LN:i:5984 RC:i:1,0,-
12 [6] LN:i:11184 RC:i:1,13 [6] LN:i:11184 RC:i:1,0,-
14 [7] LN:i:10496 RC:i:1,15 [7] LN:i:10496 RC:i:1,0,-
16 [8] LN:i:10720 RC:i:1,17 [8] LN:i:10720 RC:i:1,0,-
18 [9] LN:i:8384 RC:i:1,19 [9] LN:i:8384 RC:i:1,0,-
20 [10] LN:i:9040 RC:i:1,21 [10] LN:i:9040 RC:i:1,0,-
22 [11] LN:i:11568 RC:i:1,23 [11] LN:i:11568 RC:i:1,0,-
24 [12] LN:i:11424 RC:i:1,25 [12] LN:i:11424 RC:i:1,0,-
26 [13] LN:i:9760 RC:i:1,27 [13] LN:i:9760 RC:i:1,0,-
28 [14] LN:i:9904 RC:i:1,29 [14] LN:i:9904 RC:i:1,0,-
30 [15] LN:i:7792 RC:i:1,31 [15] LN:i:7792 RC:i:1,0,-
32 [16] LN:i:11328 RC:i:1,33 [16] LN:i:11328 RC:i:1,0,-
34 [17] LN:i:9792 RC:i:1,35 [17] LN:i:9792 RC:i:1,0,-
36 [18] LN:i:11600 RC:i:1,37 [18] LN:i:11600 RC:i:1,0,-
38 [19] LN:i:9824 RC:i:1,39 [19] LN:i:9824 RC:i:1,0,-
40 [20] LN:i:9392 RC:i:1,41 [20] LN:i:9392 RC:i:1,0,-
42 [21] LN:i:7408 RC:i:1,43 [21] LN:i:7408 RC:i:1,0,-
44 [22] LN:i:10192 RC:i:1,45 [22] LN:i:10192 RC:i:1,0,-
46 [23] LN:i:8576 RC:i:1,47 [23] LN:i:8576 RC:i:1,0,-
48 [24] LN:i:10496 RC:i:1,49 [24] LN:i:10496 RC:i:1,0,-
50 [25] LN:i:10320 RC:i:1,51 [25] LN:i:10320 RC:i:1,0,-
52 [26] LN:i:9280 RC:i:1,53 [26] LN:i:9280 RC:i:1,0,-
54 [27] LN:i:9424 RC:i:1,55 [27] LN:i:9424 RC:i:1,0,-
56 [28] LN:i:10208 RC:i:1,57 [28] LN:i:10208 RC:i:1,0,-
58 [29] LN:i:10384 RC:i:1,59 [29] LN:i:10384 RC:i:1,0,-
0 [0] LN:i:7440 RC:i:1,4 [2] LN:i:9424 RC:i:1,1,0 2452 0
5 [2] LN:i:9424 RC:i:1,1 [0] LN:i:7440 RC:i:1,1,1 3758 0
13 [6] LN:i:11184 RC:i:1,0 [0] LN:i:7440 RC:i:1,1,2 7170 0
1 [0] LN:i:7440 RC:i:1,12 [6] LN:i:11184 RC:i:1,1,3 3679 0
16 [8] LN:i:10720 RC:i:1,0 [0] LN:i:7440 RC:i:1,1,4 3632 0
1 [0] LN:i:7440 RC:i:1,17 [8] LN:i:10720 RC:i:1,1,5 499 0
0 [0] LN:i:7440 RC:i:1,19 [9] LN:i:8384 RC:i:1,1,6 431 0
18 [9] LN:i:8384 RC:i:1,1 [0] LN:i:7440 RC:i:1,1,7 338 0
0 [0] LN:i:7440 RC:i:1,20 [10] LN:i:9040 RC:i:1,1,8 4521 0
21 [10] LN:i:9040 RC:i:1,1 [0] LN:i:7440 RC:i:1,1,9 6097 0
24 [12] LN:i:11424 RC:i:1,0 [0] LN:i:7440 RC:i:1,1,10 5685 0
1 [0] LN:i:7440 RC:i:1,25 [12] LN:i:11424 RC:i:1,1,11 2490 0
0 [0] LN:i:7440 RC:i:1,26 [13] LN:i:9760 RC:i:1,1,12 5165 0
27 [13] LN:i:9760 RC:i:1,1 [0] LN:i:7440 RC:i:1,1,13 7425 0
0 [0] LN:i:7440 RC:i:1,28 [14] LN:i:9904 RC:i:1,1,14 4253 0
29 [14] LN:i:9904 RC:i:1,1 [0] LN:i:7440 RC:i:1,1,15 6286 0
0 [0] LN:i:7440 RC:i:1,32 [16] LN:i:11328 RC:i:1,1,16 6668 0
33 [16] LN:i:11328 RC:i:1,1 [0] LN:i:7440 RC:i:1,1,17 10511 0
0 [0] LN:i:7440 RC:i:1,37 [18] LN:i:11600 RC:i:1,1,18 5724 0
36 [18] LN:i:11600 RC:i:1,1 [0] LN:i:7440 RC:i:1,1,19 9788 0
0 [0] LN:i:7440 RC:i:1,39 [19] LN:i:9824 RC:i:1,1,20 873 0
38 [19] LN:i:9824 RC:i:1,1 [0] LN:i:7440 RC:i:1,1,21 2810 0
0 [0] LN:i:7440 RC:i:1,45 [22] LN:i:10192 RC:i:1,1,22 2450 0
44 [22] LN:i:10192 RC:i:1,1 [0] LN:i:7440 RC:i:1,1,23 4544 0
0 [0] LN:i:7440 RC:i:1,55 [27] LN:i:9424 RC:i:1,1,24 2282 0
54 [27] LN:i:9424 RC:i:1,1 [0] LN:i:7440 RC:i:1,1,25 3689 0
2 [1] LN:i:11104 RC:i:1,7 [3] LN:i:9696 RC:i:1,1,26 9630 0
6 [3] LN:i:9696 RC:i:1,3 [1] LN:i:11104 RC:i:1,1,27 8136 0
2 [1] LN:i:11104 RC:i:1,8 [4] LN:i:8704 RC:i:1,1,28 4609 0
9 [4] LN:i:8704 RC:i:1,3 [1] LN:i:11104 RC:i:1,1,29 2216 0
2 [1] LN:i:11104 RC:i:1,23 [11] LN:i:11568 RC:i:1,1,30 20 0
22 [11] LN:i:11568 RC:i:1,3 [1] LN:i:11104 RC:i:1,1,31 778 0
2 [1] LN:i:11104 RC:i:1,31 [15] LN:i:7792 RC:i:1,1,32 6441 0
30 [15] LN:i:7792 RC:i:1,3 [1] LN:i:11104 RC:i:1,1,33 3477 0
2 [1] LN:i:11104 RC:i:1,47 [23] LN:i:8576 RC:i:1,1,34 6778 0
46 [23] LN:i:8576 RC:i:1,3 [1] LN:i:11104 RC:i:1,1,35 4142 0
2 [1] LN:i:11104 RC:i:1,50 [25] LN:i:10320 RC:i:1,1,36 8368 0
51 [25] LN:i:10320 RC:i:1,3 [1] LN:i:11104 RC:i:1,1,37 7502 0
52 [26] LN:i:9280 RC:i:1,2 [1] LN:i:11104 RC:i:1,1,38 2 0
3 [1] LN:i:11104 RC:i:1,53 [26] LN:i:9280 RC:i:1,1,39 1918 0
4 [2] LN:i:9424 RC:i:1,6 [3] LN:i:9696 RC:i:1,1,40 7909 0
7 [3] LN:i:9696 RC:i:1,5 [2] LN:i:9424 RC:i:1,1,41 8232 0
13 [6] LN:i:11184 RC:i:1,4 [2] LN:i:9424 RC:i:1,1,42 9810 0
5 [2] LN:i:9424 RC:i:1,12 [6] LN:i:11184 RC:i:1,1,43 7964 0
16 [8] LN:i:10720 RC:i:1,4 [2] LN:i:9424 RC:i:1,1,44 6081 0
5 [2] LN:i:9424 RC:i:1,17 [8] LN:i:10720 RC:i:1,1,45 4334 0
19 [9] LN:i:8384 RC:i:1,4 [2] LN:i:9424 RC:i:1,1,46 2302 0
5 [2] LN:i:9424 RC:i:1,18 [9] LN:i:8384 RC:i:1,1,47 3424 0
4 [2] LN:i:9424 RC:i:1,20 [10] LN:i:9040 RC:i:1,1,48 2263 0
21 [10] LN:i:9040 RC:i:1,5 [2] LN:i:9424 RC:i:1,1,49 2644 0
24 [12] LN:i:11424 RC:i:1,4 [2] LN:i:9424 RC:i:1,1,50 8537 0
5 [2] LN:i:9424 RC:i:1,25 [12] LN:i:11424 RC:i:1,1,51 6641 0
4 [2] LN:i:9424 RC:i:1,26 [13] LN:i:9760 RC:i:1,1,52 3067 0
27 [13] LN:i:9760 RC:i:1,5 [2] LN:i:9424 RC:i:1,1,53 3925 0
4 [2] LN:i:9424 RC:i:1,28 [14] LN:i:9904 RC:i:1,1,54 2026 0
29 [14] LN:i:9904 RC:i:1,5 [2] LN:i:9424 RC:i:1,1,55 2748 0
4 [2] LN:i:9424 RC:i:1,32 [16] LN:i:11328 RC:i:1,1,56 4761 0
33 [16] LN:i:11328 RC:i:1,5 [2] LN:i:9424 RC:i:1,1,57 6877 0
4 [2] LN:i:9424 RC:i:1,35 [17] LN:i:9792 RC:i:1,1,58 7096 0
34 [17] LN:i:9792 RC:i:1,5 [2] LN:i:9424 RC:i:1,1,59 7492 0
4 [2] LN:i:9424 RC:i:1,37 [18] LN:i:11600 RC:i:1,1,60 3679 0
36 [18] LN:i:11600 RC:i:1,5 [2] LN:i:9424 RC:i:1,1,61 6328 0
39 [19] LN:i:9824 RC:i:1,4 [2] LN:i:9424 RC:i:1,1,62 1690 0
5 [2] LN:i:9424 RC:i:1,38 [19] LN:i:9824 RC:i:1,1,63 839 0
